ZCR,Energy,Spectral_centroid,Spectral_spread,Spectral_rollof,MFCC1,MFCC2,MFCC3,MFCC5,MFCC6,MFCC7,Chroma_vector11,Class
0.0276,0.0359,0.0949,0.152,0.0367,-19.2,2.4,0.728,-0.111,-0.177,0.185,0.000416,Cry
0.0409,0.00718,0.114,0.119,0.092,-25.5,0.801,0.894,-0.0134,0.254,0.31,9.61E-05,Cry
0.0404,0.0114,0.129,0.155,0.0608,-27.2,0.864,1.87,0.0976,0.0638,0.415,0.000112,Cry
0.0468,0.00391,0.107,0.125,0.0533,-28.9,0.608,1.91,0.16,-0.118,0.372,2.74E-05,Cry
0.0514,0.00569,0.142,0.161,0.0648,-28.8,0.114,1.71,0.0558,0.0227,0.383,7.66E-05,Cry
0.0756,0.0165,0.185,0.146,0.254,-30.4,0.272,1.82,0.494,0.0152,0.367,6.91E-06,Cry
0.058,0.0129,0.157,0.135,0.238,-28.8,0.22,1.82,0.439,-0.0731,0.629,2.74E-05,Cry
0.045,0.00967,0.0917,0.0916,0.0773,-22.7,1.2,-1.11,-0.356,-0.264,-0.198,0.000322,Cry
0.0379,0.0107,0.0791,0.0917,0.0871,-19.8,0.763,-1.75,-0.409,-0.154,-0.284,0.00102,Cry
0.0556,0.0114,0.0977,0.102,0.1,-22.6,0.456,-1.18,-0.246,-0.334,-0.28,0.00016,Cry
0.0669,0.0139,0.152,0.147,0.143,-28.5,-1.04,1.91,0.445,0.212,0.214,2.31E-05,Cry
0.053,0.0398,0.113,0.121,0.108,-27.8,-1,2.23,0.488,0.0466,0.223,2.72E-05,Cry
0.0642,0.0105,0.155,0.14,0.199,-28.8,-1.09,2.07,0.576,-0.246,0.323,7.31E-05,Cry
0.0471,0.0311,0.113,0.121,0.0936,-28.7,-0.58,2.94,0.622,0.0941,0.106,2.33E-05,Cry
0.0403,0.0268,0.11,0.149,0.0879,-18.7,1.57,-0.886,-0.443,-0.111,-0.24,0.000766,Cry
0.0388,0.012,0.0897,0.151,0.0629,-19.8,1.37,-1.03,-0.518,-0.147,-0.163,0.000187,Cry
0.0348,0.00892,0.0959,0.159,0.0586,-20.2,1.48,-1.01,-0.423,-0.203,-0.27,0.00107,Cry
0.0371,0.0111,0.105,0.163,0.061,-19.9,1.43,-0.935,-0.313,0.00351,-0.035,0.000595,Cry
0.0932,0.0371,0.173,0.158,0.144,-27.9,-1.15,-2.32,-0.991,0.0513,-0.482,1.39E-05,Cry
0.0995,0.0399,0.188,0.175,0.152,-27.7,-1.42,-1.16,-0.47,0.148,-0.415,0.000146,Cry
0.105,0.0332,0.182,0.171,0.182,-27.9,-0.799,-1.37,-0.0439,-0.389,0.168,2.75E-05,Cry
0.137,0.017,0.171,0.101,0.194,-36,-1.62,1.54,0.235,0.146,-0.33,5.9E-05,Cry
0.121,0.00595,0.179,0.12,0.183,-36.6,-2.13,1.35,0.222,-0.0714,-0.295,0.000177,Cry
0.112,0.00235,0.18,0.137,0.183,-37.5,-3.04,1.93,0.148,0.2,-0.0638,0.000173,Cry
